fullName	ae	vc
1.png	1.6	3.4
2.png	1.7	3.2
3.png	1.6	2.6
4.png	1.4	3.3
5.png	1.6	3.7
6.png	2.4	3.7
7.png	2.1	3.5
8.png	1.8	3
9.png	1.2	3.5
10.png	1.7	4.2
11.png	2.1	2.3
12.png	1.5	3.1
13.png	2	3.6
14.png	1.6	2.7
15.png	2.1	2.7
16.png	2.6	3.2
17.png	3.2	1.9
18.png	3	2.9
19.png	2.1	3.6
20.png	3.7	3.1
21.png	3.4	2
22.png	2.8	3.2
23.png	3	3
24.png	2.7	2.7
25.png	2.7	3.5
26.png	3	3
27.png	4.1	1.8
28.png	3	2.7
29.png	3.4	2.9
30.png	3.2	2.8
31.png	3.5	1.8
32.png	2.9	3.2
33.png	3.1	2.6
34.png	4.2	1.6
35.png	3	3
36.png	2.8	2.7
37.png	3	2.3
38.png	2.6	2.8
39.png	2.8	3
40.png	2.9	3.2
42.png	2.4	2.4
43.png	2.3	3
44.png	3.8	2.1
45.png	2.5	2.4
46.png	3.4	3.1
47.png	3.3	2.8
48.png	3.3	2.5
49.png	3	3.3
50.png	3.4	3.1
51.png	3.4	2.7
52.png	3.3	2.7
53.png	3.7	2.8
54.png	1.9	3.4
55.png	3.6	2.1
56.png	3.5	3.2
57.png	2.9	2.6
58.png	3.9	1.9
59.png	3.1	2.7
60.png	2.9	3.2
61.png	3.5	2.9
62.png	2	3.6
63.png	3.3	3.6
64.png	3.7	2.3
65.png	3.2	2.7
66.png	2.9	2.1
67.png	3.3	2.4
68.png	3.5	2.3
69.png	3.1	2.8
70.png	3.3	2.5
71.png	3.4	2.6
72.png	3.1	1.3
74.png	3.1	3.1
75.png	2.4	2.9
76.png	4.1	2.2
77.png	3.2	2.6
78.png	3.5	2.1
79.png	4.1	2.1
80.png	2.6	3.5
81.png	4	1.8
82.png	3.2	2.7
83.png	4.1	2
84.png	2.6	2.9
85.png	3.2	2.6
86.png	3.3	2.3
87.png	4.1	2.2
88.png	3.9	1.9
89.png	3.4	3
90.png	2.9	2.8
91.png	2.8	2.7
92.png	3.6	2.5
93.png	3.7	1.9
94.png	3.2	3
95.png	2.4	2.3
96.png	3.6	1.7
97.png	3.6	2.1
98.png	3.5	2.5
99.png	4	2.2
100.png	2.7	2.9
101.png	2.9	2.5
102.png	3.4	2.5
103.png	3.5	2.5
104.png	3.9	1.8
105.png	3.6	2.2
106.png	3.3	2.2
107.png	3.1	3.4
108.png	2.2	2.8
109.png	3.9	2.5
110.png	2.4	1.9
111.png	3	2.8
112.png	2.6	2.7
113.png	3	3.6
114.png	2.8	3.5
115.png	3.3	2.8
116.png	3.3	2.3
117.png	3.6	1.8
118.png	1.6	1.8
119.png	3.3	2.2
120.png	3.8	2.2
121.png	1.9	3.2
122.png	2.6	2.6
123.png	2.8	2.8
124.png	2.7	2.9
125.png	2.3	2.8
126.png	2	2.9
127.png	3.3	2.5
128.png	2.6	2.9
129.png	3.1	2.1
130.png	3.4	2.5
131.png	2.9	2.4
132.png	2.8	3.1
133.png	3.3	2.8
134.png	2.3	2.8
135.png	3.5	2.6
136.png	2.5	3.2
137.png	3.3	3
138.png	2.8	2.7
139.png	3.7	2.6
140.png	2.7	3
141.png	3	1.4
142.png	3.3	2.8
